method,accuracy,pair
cosine,0.28890625,cor_norm
cosine,0.3015625,cor_norm
cosine,0.27828125,cor_norm
cosine,0.30546875,cor_norm
cosine,0.30375,cor_norm
cosine,0.29734375,cor_norm
cosine,0.29734375,cor_norm
cosine,0.30296875,cor_norm
cosine,0.29796875,cor_norm
cosine,0.2990625,cor_norm
cosine,0.29546875,cor_norm
cosine,0.2946875,cor_norm
cosine,0.2978125,cor_norm
cosine,0.3028125,cor_norm
cosine,0.30171875,cor_norm
cosine,0.2865625,cor_norm
cosine,0.2965625,cor_norm
cosine,0.29546875,cor_norm
cosine,0.303125,cor_norm
cosine,0.30484375,cor_norm
cosine,0.3,cor_norm
cosine,0.293125,cor_norm
cosine,0.3059375,cor_norm
cosine,0.31203125,cor_norm
cosine,0.29,cor_cor
cosine,0.31515625,cor_cor
cosine,0.30640625,cor_cor
cosine,0.32890625,cor_cor
cosine,0.32546875,cor_cor
cosine,0.3140625,cor_cor
cosine,0.31453125,cor_cor
cosine,0.31375,cor_cor
cosine,0.38796875,cor_cor
cosine,0.11578125,cor_cor
cosine,0.1115625,cor_cor
cosine,0.313125,cor_cor
cosine,0.10515625,cor_cor
cosine,0.339375,cor_cor
cosine,0.31375,cor_cor
cosine,0.31390625,cor_cor
cosine,0.31328125,cor_cor
cosine,0.31140625,cor_cor
cosine,0.34671875,cor_cor
cosine,0.31609375,cor_cor
cosine,0.3140625,cor_cor
cosine,0.3140625,cor_cor
cosine,0.1715625,cor_cor
cosine,0.28484375,cor_cor
cosine,0.31484375,cor_cor
cosine,0.33359375,cor_cor
cosine,0.30796875,cor_cor
cosine,0.31375,cor_cor
cosine,0.3059375,cor_cor
cosine,0.293125,cor_cor
cosine,0.313125,cor_cor
cosine,0.34671875,cor_cor
cosine,0.31390625,cor_cor
cosine,0.33203125,cor_cor
cosine,0.31390625,cor_cor
cosine,0.31375,cor_cor
cosine,0.3521875,cor_cor
cosine,0.31359375,cor_cor
cosine,0.314375,cor_cor
cosine,0.31359375,cor_cor
cosine,0.298125,cor_cor
cosine,0.288125,cor_cor
cosine,0.335,cor_cor
cosine,0.31390625,cor_cor
cosine,0.33328125,cor_cor
cosine,0.31375,cor_cor
cosine,0.31375,cor_cor
cosine,0.39125,cor_cor
cosine,0.31546875,cor_cor
cosine,0.381875,cor_cor
cosine,0.3134375,cor_cor
cosine,0.3165625,cor_cor
cosine,0.31359375,cor_cor
cosine,0.32625,cor_cor
cosine,0.2921875,cor_cor
cosine,0.3025,cor_cor
cosine,0.30921875,cor_cor
cosine,0.2321875,cor_cor
cosine,0.3146875,cor_cor
cosine,0.360625,cor_cor
cosine,0.3125,cor_cor
cosine,0.3153125,cor_cor
cosine,0.3365625,cor_cor
cosine,0.3153125,cor_cor
cosine,0.32859375,cor_cor
cosine,0.38375,cor_cor
cosine,0.34671875,cor_cor
cosine,0.13984375,cor_cor
cosine,0.31484375,cor_cor
cosine,0.31375,cor_cor
cosine,0.3140625,cor_cor
cosine,0.30765625,cor_cor
cosine,0.315,cor_cor
cosine,0.31484375,cor_cor
cosine,0.34109375,cor_cor
cosine,0.31375,cor_cor
cosine,0.3140625,cor_cor
cosine,0.31140625,cor_cor
cosine,0.31484375,cor_cor
cosine,0.10640625,cor_cor
cosine,0.318125,cor_cor
cosine,0.31390625,cor_cor
cosine,0.2646875,cor_cor
cosine,0.30625,cor_cor
cosine,0.31640625,cor_cor
cosine,0.3165625,cor_cor
